timestamp,open,high,low,close,volume
2024-10-16,67647.54414766871,67647.54414766871,67647.54414766871,67647.54414766871,0
2024-10-17,67328.10527002988,67328.10527002988,67328.10527002988,67328.10527002988,0
2024-10-18,68465.61920668735,68465.61920668735,68465.61920668735,68465.61920668735,0
2024-10-19,68388.87128965274,68388.87128965274,68388.87128965274,68388.87128965274,0
2024-10-20,68962.82918045693,68962.82918045693,68962.82918045693,68962.82918045693,0
2024-10-21,67394.85775735618,67394.85775735618,67394.85775735618,67394.85775735618,0
2024-10-22,67351.04793512498,67351.04793512498,67351.04793512498,67351.04793512498,0
2024-10-23,66683.96806542306,66683.96806542306,66683.96806542306,66683.96806542306,0
2024-10-24,68214.05205157402,68214.05205157402,68214.05205157402,68214.05205157402,0
2024-10-25,66585.66535501445,66585.66535501445,66585.66535501445,66585.66535501445,0
2024-10-26,67018.1650170265,67018.1650170265,67018.1650170265,67018.1650170265,0
2024-10-27,67938.55412885673,67938.55412885673,67938.55412885673,67938.55412885673,0
2024-10-28,69845.304531169,69845.304531169,69845.304531169,69845.304531169,0
2024-10-29,72781.11308158132,72781.11308158132,72781.11308158132,72781.11308158132,0
2024-10-30,72342.62171127986,72342.62171127986,72342.62171127986,72342.62171127986,0
2024-10-31,70264.99735573279,70264.99735573279,70264.99735573279,70264.99735573279,0
2024-11-01,69507.92256395647,69507.92256395647,69507.92256395647,69507.92256395647,0
2024-11-02,69299.16036699413,69299.16036699413,69299.16036699413,69299.16036699413,0
2024-11-03,68803.50626277467,68803.50626277467,68803.50626277467,68803.50626277467,0
2024-11-04,67793.29782704762,67793.29782704762,67793.29782704762,67793.29782704762,0
2024-11-05,69335.42553133758,69335.42553133758,69335.42553133758,69335.42553133758,0
2024-11-06,75620.88606963192,75620.88606963192,75620.88606963192,75620.88606963192,0
2024-11-07,75987.24178320667,75987.24178320667,75987.24178320667,75987.24178320667,0
2024-11-08,76550.0213845611,76550.0213845611,76550.0213845611,76550.0213845611,0
2024-11-09,76630.22631415377,76630.22631415377,76630.22631415377,76630.22631415377,0
2024-11-10,80466.71654833542,80466.71654833542,80466.71654833542,80466.71654833542,0
2024-11-11,88637.42000322911,88637.42000322911,88637.42000322911,88637.42000322911,0
2024-11-12,88264.59974582895,88264.59974582895,88264.59974582895,88264.59974582895,0
2024-11-13,90488.10007497849,90488.10007497849,90488.10007497849,90488.10007497849,0
2024-11-14,87407.51273710128,87407.51273710128,87407.51273710128,87407.51273710128,0
2024-11-15,90947.97509443703,90947.97509443703,90947.97509443703,90947.97509443703,0
2024-11-16,90606.45489380708,90606.45489380708,90606.45489380708,90606.45489380708,0
2024-11-17,89841.47194135105,89841.47194135105,89841.47194135105,89841.47194135105,0
